Unnamed: 0,UNIT NAME,INR,UNIT CODE,COUNTY,FUEL,ZONE,IN SERVICE,INSTALLED CAPACITY RATING (MW),WINTER CAPACITY (MW),file_link
882.0,7V SOLAR,,7RNCHSLR_UNIT1,FAYETTE,SOLAR,SOUTH,2025.0,139.5,139.2,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
883.0,7V SOLAR U2,,7RNCHSLR_UNIT2,FAYETTE,SOLAR,SOUTH,2025.0,95.54,95.2,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
884.0,7V SOLAR U3,,7RNCHSLR_UNIT3,FAYETTE,SOLAR,SOUTH,2025.0,5.57,5.6,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
885.0,ACACIA SOLAR,,ACACIA_UNIT_1,PRESIDIO,SOLAR,WEST,2012.0,10.0,10.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
887.0,ALEXIS SOLAR,,ALEXIS_ALEXIS,BROOKS,SOLAR,SOUTH,2019.0,10.0,10.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
888.0,ANDROMEDA SOLAR U1,,ANDMDSLR_UNIT1,SCURRY,SOLAR,WEST,2024.0,158.8,158.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
889.0,ANDROMEDA SOLAR U2,,ANDMDSLR_UNIT2,SCURRY,SOLAR,WEST,2024.0,162.4,162.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
890.0,ANGELO SOLAR,,ANG_SLR_UNIT1,TOM GREEN,SOLAR,WEST,2025.0,195.41,195.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
891.0,ANSON SOLAR U1,,ANSON1_UNIT1,JONES,SOLAR,WEST,2022.0,100.8,100.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
892.0,ANSON SOLAR U2,,ANSON1_UNIT2,JONES,SOLAR,WEST,2022.0,100.8,100.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
893.0,ARAGORN SOLAR,,ARAGORN_UNIT1,CULBERSON,SOLAR,WEST,2021.0,188.2,185.0,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
894.0,ASH CREEK SOLAR U1,,ASCK_SLR_SOLAR1,HILL,SOLAR,NORTH,2025.0,206.8,203.3,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
895.0,ASH CREEK SOLAR U2,,ASCK_SLR_SOLAR2,HILL,SOLAR,NORTH,2025.0,210.94,207.3,https://www.ercot.com/files/docs/2025/08/01/MORA_October2025.xlsx
