UNIT NAME,"INTERCONNECTION REQUEST
 NUMBER (INR)",UNIT CODE,TECHNOLOGY,FUEL,CDR STATUS,CDR RESOURCE ATTRIBUTE ,COUNTY,ZONE,"IN-SERVICE
DATE","INSTALLED CAPACITY
(MW)"
,,,,,,,,,,
COMANCHE PEAK U1,,CPSES_UNIT1,ST,NUCLEAR,OPER,CONV,SOMERVELL,NORTH,8/13/1990," 1,269.0 "
COMANCHE PEAK U2,,CPSES_UNIT2,ST,NUCLEAR,OPER,CONV,SOMERVELL,NORTH,8/3/1993," 1,269.0 "
SOUTH TEXAS U1,,STP_STP_G1,ST,NUCLEAR,OPER,CONV,MATAGORDA,COASTAL,3/22/1988," 1,365.0 "
SOUTH TEXAS U2,,STP_STP_G2,ST,NUCLEAR,OPER,CONV,MATAGORDA,COASTAL,3/28/1989," 1,365.0 "
COLETO CREEK,,COLETO_COLETOG1,ST,COAL,OPER-UNR,CONV,GOLIAD,SOUTH,1/1/1980, 655.0 
FAYETTE POWER U1,,FPPYD1_FPP_G1,ST,COAL,OPER,CONV,FAYETTE,SOUTH,6/16/1979, 615.0 
FAYETTE POWER U2,,FPPYD1_FPP_G2,ST,COAL,OPER,CONV,FAYETTE,SOUTH,5/20/1980, 615.0 
FAYETTE POWER U3,,FPPYD2_FPP_G3,ST,COAL,OPER,CONV,FAYETTE,SOUTH,4/29/1988, 460.0 
J K SPRUCE U1,,CALAVERS_JKS1,ST,COAL,OPER-UNR,CONV,BEXAR,SOUTH,11/1/1992, 560.0 
J K SPRUCE U2,,CALAVERS_JKS2,ST,COAL,OPER-UNR,CONV,BEXAR,SOUTH,5/28/2010, 922.0 
LIMESTONE U1,,LEG_LEG_G1,ST,COAL,OPER,CONV,LIMESTONE,NORTH,12/1/1985, 893.0 
LIMESTONE U2,,LEG_LEG_G2,ST,COAL,OPER,CONV,LIMESTONE,NORTH,12/1/1986, 956.8 
MARTIN LAKE U1,,MLSES_UNIT1,ST,COAL,OPER,CONV,RUSK,NORTH,5/16/1977, 893.0 
MARTIN LAKE U2,,MLSES_UNIT2,ST,COAL,OPER,CONV,RUSK,NORTH,5/23/1978, 893.0 
MARTIN LAKE U3,,MLSES_UNIT3,ST,COAL,OPER,CONV,RUSK,NORTH,4/1/1979, 893.0 
OAK GROVE SES U1,,OGSES_UNIT1A,ST,COAL,OPER,CONV,ROBERTSON,NORTH,4/14/2010, 916.8 
OAK GROVE SES U2,,OGSES_UNIT2,ST,COAL,OPER,CONV,ROBERTSON,NORTH,4/19/2011, 916.8 
SAN MIGUEL U1,,SANMIGL_G1,ST,COAL,OPER,CONV,ATASCOSA,SOUTH,2/7/1982, 430.0 
SANDY CREEK U1,,SCES_UNIT1,ST,COAL,OPER,CONV,MCLENNAN,NORTH,7/17/2013," 1,008.0 "
TWIN OAKS U1,,TNP_ONE_TNP_O_1,ST,COAL,OPER,CONV,ROBERTSON,NORTH,6/8/1990, 174.6 
TWIN OAKS U2,,TNP_ONE_TNP_O_2,ST,COAL,OPER,CONV,ROBERTSON,NORTH,5/31/1991, 174.6 
W A PARISH U5,,WAP_WAP_G5,ST,COAL,OPER,CONV,FORT BEND,HOUSTON,12/27/1977, 734.1 
W A PARISH U6,,WAP_WAP_G6,ST,COAL,OPER,CONV,FORT BEND,HOUSTON,12/27/1978, 734.1 
W A PARISH U7,,WAP_WAP_G7,ST,COAL,OPER,CONV,FORT BEND,HOUSTON,6/2/1980, 614.6 
W A PARISH U8,,WAP_WAP_G8,ST,COAL,OPER,CONV,FORT BEND,HOUSTON,12/1/1982, 654.0 
ARTHUR VON ROSENBERG 1 CTG 1,,BRAUNIG_AVR1_CT1,CC,GAS,OPER,CONV,BEXAR,SOUTH,6/2/2000, 189.0 
ARTHUR VON ROSENBERG 1 CTG 2,,BRAUNIG_AVR1_CT2,CC,GAS,OPER,CONV,BEXAR,SOUTH,6/2/2000, 195.0 
ARTHUR VON ROSENBERG 1 STG,,BRAUNIG_AVR1_ST,CC,GAS,OPER,CONV,BEXAR,SOUTH,6/2/2000, 222.0 
ATKINS CTG 7,,ATKINS_ATKINSG7,GT,GAS,OPER,CONV,BRAZOS,NORTH,1/1/1973, 21.0 
BARNEY M DAVIS CTG 3,,B_DAVIS_B_DAVIG3,CC,GAS,OPER,CONV,NUECES,COASTAL,3/26/2010, 189.6 
BARNEY M DAVIS CTG 4,,B_DAVIS_B_DAVIG4,CC,GAS,OPER,CONV,NUECES,COASTAL,3/26/2010, 189.6 
BARNEY M DAVIS STG 1,,B_DAVIS_B_DAVIG1,ST,GAS,OPER,CONV,NUECES,COASTAL,4/15/1974, 352.8 
BARNEY M DAVIS STG 2,,B_DAVIS_B_DAVIG2,CC,GAS,OPER,CONV,NUECES,COASTAL,3/1/1976, 351.0 
BASTROP ENERGY CENTER CTG 1,,BASTEN_GTG1100,CC,GAS,OPER,CONV,BASTROP,SOUTH,3/13/2002, 188.0 
BASTROP ENERGY CENTER CTG 2,,BASTEN_GTG2100,CC,GAS,OPER,CONV,BASTROP,SOUTH,3/13/2002, 188.0 
BASTROP ENERGY CENTER STG,,BASTEN_ST0100,CC,GAS,OPER,CONV,BASTROP,SOUTH,3/13/2002, 242.0 
BEACHWOOD POWER STATION U1,,BCH_UNIT1,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,11/9/2022, 60.5 
BEACHWOOD POWER STATION U2,,BCH_UNIT2,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,11/9/2022, 60.5 
BEACHWOOD POWER STATION U3,,BCH_UNIT3,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,11/9/2022, 60.5 
BEACHWOOD POWER STATION U4,,BCH_UNIT4,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,11/9/2022, 60.5 
BEACHWOOD POWER STATION U5,,BCH_UNIT5,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,11/9/2022, 60.5 
BEACHWOOD POWER STATION U6,,BCH_UNIT6,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,11/9/2022, 60.5 
BOSQUE ENERGY CENTER CTG 1,,BOSQUESW_BSQSU_1,CC,GAS,OPER,CONV,BOSQUE,NORTH,6/1/2000, 188.7 
BOSQUE ENERGY CENTER CTG 2,,BOSQUESW_BSQSU_2,CC,GAS,OPER,CONV,BOSQUE,NORTH,6/1/2000, 188.7 
BOSQUE ENERGY CENTER CTG 3,,BOSQUESW_BSQSU_3,CC,GAS,OPER,CONV,BOSQUE,NORTH,6/1/2001, 188.7 
BOSQUE ENERGY CENTER STG 4,,BOSQUESW_BSQSU_4,CC,GAS,OPER,CONV,BOSQUE,NORTH,6/1/2001, 95.0 
BOSQUE ENERGY CENTER STG 5,,BOSQUESW_BSQSU_5,CC,GAS,OPER,CONV,BOSQUE,NORTH,3/1/2009, 254.2 
BRAZOS VALLEY CTG 1,,BVE_UNIT1,CC,GAS,OPER,CONV,FORT BEND,HOUSTON,1/21/2003, 198.9 
BRAZOS VALLEY CTG 2,,BVE_UNIT2,CC,GAS,OPER,CONV,FORT BEND,HOUSTON,1/21/2003, 198.9 
BRAZOS VALLEY STG 3,,BVE_UNIT3,CC,GAS,OPER,CONV,FORT BEND,HOUSTON,1/21/2003, 275.6 
BROTMAN POWER STATION U1,,BTM_UNIT1,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,6/29/2023, 60.5 
BROTMAN POWER STATION U2,,BTM_UNIT2,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,6/29/2023, 60.5 
BROTMAN POWER STATION U3,,BTM_UNIT3,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,6/29/2023, 60.5 
BROTMAN POWER STATION U4,,BTM_UNIT4,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,6/29/2023, 60.5 
BROTMAN POWER STATION U5,,BTM_UNIT5,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,6/29/2023, 60.5 
BROTMAN POWER STATION U6,,BTM_UNIT6,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,6/29/2023, 60.5 
BROTMAN POWER STATION U7,,BTM_UNIT7,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,10/23/2023, 60.5 
BROTMAN POWER STATION U8,,BTM_UNIT8,GT,GAS,OPER,CONV,BRAZORIA,COASTAL,10/23/2023, 60.5 
CALENERGY-FALCON SEABOARD CTG 1,,FLCNS_UNIT1,GT,GAS,OPER,CONV,HOWARD,WEST,7/20/1987, 75.0 
CALENERGY-FALCON SEABOARD CTG 2,,FLCNS_UNIT2,GT,GAS,OPER,CONV,HOWARD,WEST,7/21/1987, 75.0 
CALHOUN (PORT COMFORT) CTG 1,,CALHOUN_UNIT1,GT,GAS,OPER,CONV,CALHOUN,COASTAL,10/3/2017, 60.5 
CALHOUN (PORT COMFORT) CTG 2,,CALHOUN_UNIT2,GT,GAS,OPER,CONV,CALHOUN,COASTAL,10/3/2017, 60.5 
CASTLEMAN CHAMON CTG 1,,CHAMON_CTG_0101,GT,GAS,OPER,CONV,HARRIS,HOUSTON,10/24/2017, 60.5 
CASTLEMAN CHAMON CTG 2,,CHAMON_CTG_0301,GT,GAS,OPER,CONV,HARRIS,HOUSTON,10/24/2017, 60.5 
CEDAR BAYOU 4 CTG 1,,CBY4_CT41,CC,GAS,OPER,CONV,CHAMBERS,HOUSTON,3/9/2009, 205.0 
CEDAR BAYOU 4 CTG 2,,CBY4_CT42,CC,GAS,OPER,CONV,CHAMBERS,HOUSTON,3/9/2009, 205.0 
CEDAR BAYOU 4 STG,,CBY4_ST04,CC,GAS,OPER,CONV,CHAMBERS,HOUSTON,3/9/2009, 205.0 
CEDAR BAYOU STG 1,,CBY_CBY_G1,ST,GAS,OPER,CONV,CHAMBERS,HOUSTON,12/11/1970, 765.0 
CEDAR BAYOU STG 2,,CBY_CBY_G2,ST,GAS,OPER,CONV,CHAMBERS,HOUSTON,3/15/1972, 765.0 
COLORADO BEND ENERGY CENTER CTG 1,,CBEC_GT1,CC,GAS,OPER,CONV,WHARTON,SOUTH,4/4/2007, 86.5 
COLORADO BEND ENERGY CENTER CTG 2,,CBEC_GT2,CC,GAS,OPER,CONV,WHARTON,SOUTH,4/4/2007, 86.5 
COLORADO BEND ENERGY CENTER CTG 3,,CBEC_GT3,CC,GAS,OPER,CONV,WHARTON,SOUTH,6/1/2008, 86.5 
COLORADO BEND ENERGY CENTER CTG 4,,CBEC_GT4,CC,GAS,OPER,CONV,WHARTON,SOUTH,6/1/2008, 86.5 
COLORADO BEND ENERGY CENTER STG 1,,CBEC_STG1,CC,GAS,OPER,CONV,WHARTON,SOUTH,4/4/2007, 107.2 
COLORADO BEND ENERGY CENTER STG 2,,CBEC_STG2,CC,GAS,OPER,CONV,WHARTON,SOUTH,6/1/2008, 110.7 
COLORADO BEND II CTG 7,,CBECII_CT7,CC,GAS,OPER,CONV,WHARTON,SOUTH,6/23/2017, 360.9 
COLORADO BEND II CTG 8,,CBECII_CT8,CC,GAS,OPER,CONV,WHARTON,SOUTH,6/23/2017, 360.9 
COLORADO BEND II STG 9,,CBECII_STG9,CC,GAS,OPER,CONV,WHARTON,SOUTH,6/23/2017, 508.5 
COLORADO BEND ENERGY CENTER CTG 11,,CBEC_GT11,GT,GAS,OPER,CONV,WHARTON,HOUSTON,5/31/2023, 41.7 
COLORADO BEND ENERGY CENTER CTG 12,,CBEC_GT12,GT,GAS,OPER,CONV,WHARTON,HOUSTON,5/31/2023, 41.7 
CVC CHANNELVIEW CTG 1,,CVC_CVC_G1,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/30/2002, 192.1 
CVC CHANNELVIEW CTG 2,,CVC_CVC_G2,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/30/2002, 192.1 
CVC CHANNELVIEW CTG 3,,CVC_CVC_G3,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/30/2002, 192.1 
CVC CHANNELVIEW STG 5,,CVC_CVC_G5,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/30/2002, 150.0 
DANSBY CTG 2,,DANSBY_DANSBYG2,GT,GAS,OPER,CONV,BRAZOS,NORTH,2/1/2004, 48.0 
DANSBY CTG 3,,DANSBY_DANSBYG3,GT,GAS,OPER,CONV,BRAZOS,NORTH,1/11/2010, 50.0 
DANSBY STG 1,,DANSBY_DANSBYG1,ST,GAS,OPER,CONV,BRAZOS,NORTH,9/1/1978, 120.0 
DECKER CREEK CTG 1,,DECKER_DPGT_1,GT,GAS,OPER,CONV,TRAVIS,SOUTH,1/30/1989, 56.7 
DECKER CREEK CTG 2,,DECKER_DPGT_2,GT,GAS,OPER,CONV,TRAVIS,SOUTH,1/30/1989, 56.7 
DECKER CREEK CTG 3,,DECKER_DPGT_3,GT,GAS,OPER,CONV,TRAVIS,SOUTH,1/30/1989, 56.7 
DECKER CREEK CTG 4,,DECKER_DPGT_4,GT,GAS,OPER,CONV,TRAVIS,SOUTH,1/30/1989, 56.7 
DECORDOVA CTG 1,,DCSES_CT10,GT,GAS,OPER,CONV,HOOD,NORTH,3/1/1990, 89.5 
DECORDOVA CTG 2,,DCSES_CT20,GT,GAS,OPER,CONV,HOOD,NORTH,3/1/1990, 89.5 
DECORDOVA CTG 3,,DCSES_CT30,GT,GAS,OPER,CONV,HOOD,NORTH,3/1/1990, 89.5 
DECORDOVA CTG 4,,DCSES_CT40,GT,GAS,OPER,CONV,HOOD,NORTH,3/1/1990, 89.5 
DEER PARK ENERGY CENTER CTG 1,,DDPEC_GT1,CC,GAS,OPER,CONV,HARRIS,HOUSTON,11/10/2002, 203.0 
DEER PARK ENERGY CENTER CTG 2,,DDPEC_GT2,CC,GAS,OPER,CONV,HARRIS,HOUSTON,11/10/2002, 215.0 
DEER PARK ENERGY CENTER CTG 3,,DDPEC_GT3,CC,GAS,OPER,CONV,HARRIS,HOUSTON,11/10/2002, 203.0 
DEER PARK ENERGY CENTER CTG 4,,DDPEC_GT4,CC,GAS,OPER,CONV,HARRIS,HOUSTON,11/10/2002, 215.0 
DEER PARK ENERGY CENTER CTG 6,,DDPEC_GT6,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/11/2014, 199.0 
DEER PARK ENERGY CENTER STG 1,,DDPEC_ST1,CC,GAS,OPER,CONV,HARRIS,HOUSTON,11/10/2002, 290.0 
DENTON ENERGY CENTER IC A,,DEC_AGR_A,IC,GAS,OPER,CONV,DENTON,NORTH,7/11/2018, 56.5 
DENTON ENERGY CENTER IC B,,DEC_AGR_B,IC,GAS,OPER,CONV,DENTON,NORTH,7/11/2018, 56.5 
DENTON ENERGY CENTER IC C,,DEC_AGR_C,IC,GAS,OPER,CONV,DENTON,NORTH,7/11/2018, 56.5 
DENTON ENERGY CENTER IC D,,DEC_AGR_D,IC,GAS,OPER,CONV,DENTON,NORTH,7/11/2018, 56.5 
ECTOR COUNTY ENERGY CTG 1,,ECEC_G1,GT,GAS,OPER,CONV,ECTOR,WEST,7/25/2015, 181.0 
ECTOR COUNTY ENERGY CTG 2,,ECEC_G2,GT,GAS,OPER,CONV,ECTOR,WEST,7/25/2015, 181.0 
